X,Y,OBJECTID,LRSDate,RouteIdentifier,Location,DirectionOfTravel,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,AADT,AccumulatedRouteMile,GlobalID,ReportingYear
-117.049231342215,47.6949287877836,3867,2022/12/31 08:00:00+00,090P129920,"P1 RAMP (SR 90 EB TO SPOKAN BR RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",East,090,P1,29920,4.46999979,2.42000008,0.620000005,3100,0.239999995,{20071848-B67A-4BC1-AF06-D0B8322E3562},2022
-122.669262322047,47.0015147099562,3868,2022/12/31 08:00:00+00,510,SOUTHEAST OF MILEPOST 10.32: RED WIND RD INTERSECTION,Bothways,510,,,,,,16000,7.73999977,{7E30643F-AEB4-4BD3-89EC-2F6C68E34673},2022
-122.379069378555,48.2409817828113,3869,2022/12/31 08:00:00+00,532,EAST OF MILEPOST 3.63: 270TH ST NW INTERSECTION,Bothways,532,,,4.0999999,1.04999995,0.119999997,23000,3.6400001,{B244865F-D17D-41D4-A0FF-337EE175FDD4},2022
-119.275277753777,47.1326673995825,3870,2022/12/31 08:00:00+00,171,NORTH OF MILEPOST 3.02: PIONEER WAY INTERSECTION,Bothways,171,,,4.40999985,1.58000004,0.0299999993,3700,3,{F7BCD78E-02B1-4FD2-A7E2-88AFC8269539},2022
-121.602050289229,48.2597240063916,3871,2022/12/31 08:00:00+00,530,NORTH OF MILEPOST 49.37: SAUK PRAIRIE RD INTERSECTION,Bothways,530,,,6.67999983,4.28000021,3.21000004,2700,32.1899986,{92097E21-A8CB-4FEE-A815-CB7ED655C2B3},2022
-122.267448794008,48.2672511304692,3872,2022/12/31 08:00:00+00,005P121480,"P1 RAMP (SR 5 NB TO 300TH ST NW)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",Northwest,005,P1,21480,3.04999995,1.13,0.0599999987,1800,0.189999998,{EFB2D854-01C3-4AFA-90DD-4D132451AEF6},2022
-122.333841347338,47.5454491368052,3873,2022/12/31 08:00:00+00,099S102690,S1 RAMP (E MARGNL WAY TO SR 99 SB)  AFTER MILEPOST 0.09: E MARGINAL WAY WYE CONNECTION,Southwest,099,S1,02690,,,,17000,0.129999995,{8C854D38-9B92-475B-A8C6-405553E21E04},2022
-122.927679932769,46.9820108098766,3874,2022/12/31 08:00:00+00,005R110162,"R1 RAMP (SR 5 SB TO TUMWATER BLVD)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",Southwest,005,R1,10162,,,,6300,0.289999992,{86EB6E2E-22DA-44FB-9F5C-29D94285F028},2022
-122.196272996493,47.5314485946346,3875,2022/12/31 08:00:00+00,405Q500768,"Q5 RAMP (NE 44TH ST TO SR 405 NB)  AFTER MILEPOST 0.00: LX00747-NE 44TH ST INTERSECTION; BEGIN ROUTE",Southwest,405,Q5,00768,,,,3800,0.0700000003,{00B14268-F080-4EEF-AB9A-D8304BCD017D},2022
-122.190564457488,47.6318217747483,3876,2022/12/31 08:00:00+00,405S101456,S1 RAMP (SR 520 EB TO SR 405 SB)  AFTER MILEPOST 0.17: Q201538 OFF RAMP,South,405,S1,01456,,,,9200,0.230000004,{F8F3BEDA-4745-48F8-8699-9398D873211C},2022
-122.463126802446,47.2075729834251,3877,2022/12/31 08:00:00+00,005R113089,"R1 RAMP (CD13108 TO TACOMA ML BLV)  AFTER MILEPOST 0.00: CD13108 INTERSECTION; BEGIN ROUTE",Southwest,005,R1,13089,,,,6000,0.150000006,{5E1175B0-F0EC-48AD-81B9-427FF8925ED5},2022
-122.903032416999,46.1573992180042,3878,2022/12/31 08:00:00+00,005R104096,"R1 RAMP (SR 5 SB TO N KELSO AVE)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",South,005,R1,04096,9.28999996,1.16999996,0.0900000036,3200,0.219999999,{48602832-C4E9-4BDC-9D80-EF83269BA86B},2022
-122.293220099258,47.2051444288153,3879,2022/12/31 08:00:00+00,167R100545,"R1 RAMP (SR 167 SB TO SR 161)  AFTER MILEPOST 0.00: SR 167 SB INTERSECTION; BEGIN ROUTE",West,167,R1,00545,,,,12000,0.140000001,{CE7D7A59-F77C-47D0-82DD-F0D25155C52E},2022
-117.053479344092,46.3351625976355,3880,2022/12/31 08:00:00+00,129,SOUTHEAST OF MILEPOST 35.73: FAIRGROUNDS RD INTERSECTION,Bothways,129,,,11.0299997,4.96000004,1.24000001,810,35.7200012,{67B5EA04-13F0-4B65-AFBF-558B9886D5D0},2022
-118.227960847037,47.2127583155667,3881,2022/12/31 08:00:00+00,090S123062,"S1 RAMP (E DANEKAS RD TO SR 90 WB)  AFTER MILEPOST 0.00: E DANEKAS RD, LX23123 INTERSECTION; BEGIN ROUTE",Southwest,090,S1,23062,7.59000015,17.9300003,1.72000003,290,0.00999999978,{CBFF95EF-13FF-4FBE-8422-57B9C53F0AA3},2022
-117.363302743148,46.8913734785592,3882,2022/12/31 08:00:00+00,195,NORTHWEST OF MILEPOST 38.60: SR 26 WB INTERSECTION,Bothways,195,,,6,6.28999996,1.25,6500,36.75,{A73A5E25-DD45-4417-BA87-279DC8A7F503},2022
-122.700309111475,46.8820343079376,3883,2022/12/31 08:00:00+00,507,NORTHWEST OF MILEPOST 22.03: VAIL CUTOFF RD SE INTERSECTION,Bothways,507,,,,,,6000,22.3600006,{89129247-E447-4D04-A296-D52CB980E480},2022
-122.290742507296,47.2944458293138,3884,2022/12/31 08:00:00+00,018Q100123,Q1 RAMP (WYRHSR WAY S TO SR 18 EB)  AFTER MILEPOST 0.02: WEYERHAEUSER WAY S WYE CONNECTION,Northeast,018,Q1,00123,,,,5000,0.119999997,{EAD5AABC-E55C-40D4-B43B-CEFD8BA2A42A},2022
-119.877347807507,46.2543374148538,3885,2022/12/31 08:00:00+00,082Q107558,"Q1 RAMP (CO LINE RD TO SR 82 EB)  AFTER MILEPOST 0.00: LX07505-COUNTY LINE RD INTERSECTION; BEGIN ROUTE",East,082,Q1,07558,4.36000013,2.97000003,0.720000029,2000,0.109999999,{77464323-CDE2-40C2-B280-DD674D178480},2022
-122.379583318107,47.2750798937547,3886,2022/12/31 08:00:00+00,509,NORTHWEST OF MILEPOST 5.72B: NORPOINT WAY WYE CONNECTION,Bothways,509,,,,,,10000,5.73000002,{AB8AD41C-BB03-4590-B293-5BFAD317F8B8},2022
-122.700711627781,47.5253985148042,3887,2022/12/31 08:00:00+00,016SPGORST,EAST OF MILEPOST 28.96: FEIGLEY ST INTERSECTION,Bothways,016,SP,GORST,,,,13000,0.209999993,{B3720280-4275-4E8A-9416-7F97C5FFE85B},2022
-122.313307120766,47.3153294271658,3888,2022/12/31 08:00:00+00,099,"NORTH OF MILEPOST 9.94: MEDIAN XROAD, S 320TH ST INTERSECTION",Bothways,099,,,,,,31000,6.30000019,{42540BEB-A12A-48F4-826A-2ADF53693559},2022
-122.671154721671,47.0820286286289,3889,2022/12/31 08:00:00+00,005P111641,"P1 RAMP (SR 5 NB TO MOUNTS RD)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",East,005,P1,11641,,,,380,0.239999995,{D37148D4-B310-4DEC-9FCA-03B947898227},2022
-122.311923995027,47.3524236759508,3890,2022/12/31 08:00:00+00,099,NORTH OF MILEPOST 12.51: 16TH AVE S INTERSECTION,Bothways,099,,,,,,33000,8.86999989,{EB5D081C-78C2-449D-88D8-7302DB4972B0},2022
-122.515950197067,47.2585732279214,3891,2022/12/31 08:00:00+00,163,NORTH OF MILEPOST 0.09: SR 16 WB RAMP WYE CONNECTION,Bothways,163,,,,,,28000,0.100000001,{93B6CCEF-D8E1-435D-8721-059F3C9147D9},2022
-119.487233620417,46.2580280250682,3892,2022/12/31 08:00:00+00,225,NORTHWEST OF MILEPOST 0.91: BABS AVE INTERSECTION,Bothways,225,,,4.38000011,2.66000009,0.0900000036,7800,0.930000007,{4AA3804F-A023-484F-BB53-31770166904C},2022
-122.472581735286,48.7291654792697,3893,2022/12/31 08:00:00+00,005S125156,S1 RAMP (FIELDING ST TO SR 5 SB)  AFTER MILEPOST 0.01: FIELDING ST WYE CONNECTION,South,005,S1,25156,,,,3100,0.0700000003,{38E9A997-A1C1-4617-9165-2A4A108804E7},2022
-123.930316896693,47.0619703446249,3894,2022/12/31 08:00:00+00,101,NORTH OF MILEPOST 94.11: NEW LONDON RD INTERSECTION,Bothways,101,,,11.6099997,7.30000019,1.89999998,2200,93.6999969,{1C1C591E-045E-4E5E-BF03-DE5018BF36F8},2022
-121.410161696607,47.4175574887751,3895,2022/12/31 08:00:00+00,090R105323,"R1 RAMP (SR 90 WB TO E SUMMIT RD)  AFTER MILEPOST 0.00: SR 90 WB INTERSECTION; BEGIN ROUTE",North,090,R1,05323,4.44000006,14.2399998,3.68000007,650,0.209999993,{FF5C0B5F-B322-4B97-B213-D87618FBEBB6},2022
-122.888704426979,47.0371480608143,3896,2022/12/31 08:00:00+00,005R110623,R1 RAMP (SR 5 SB TO PLUM ST)  AFTER MILEPOST 0.38: R210623 OFF RAMP,West,005,R1,10623,,,,5700,0.660000026,{2500B87A-B689-4DC8-A480-2172B706DEE1},2022
-121.430888104587,48.5269468435279,3897,2022/12/31 08:00:00+00,020,NORTHWEST OF MILEPOST 106.12: CASCADE RD WYE CONNECTION,Bothways,020,,,4.11000013,2.69000006,0.50999999,2000,105.650002,{4F001017-527A-448F-AF63-7E82C24D11DA},2022
-123.734751171539,48.1360769222525,3898,2022/12/31 08:00:00+00,112,WEST OF MILEPOST 50.98: AGATE BEACH RD INTERSECTION,Bothways,112,,,6.17000008,2.28999996,0.439999998,2300,51.2000008,{73D9F17F-C348-491D-9427-9E0FC3FF7792},2022
-122.191946763902,48.1882592940878,3899,2022/12/31 08:00:00+00,530,EAST OF MILEPOST 17.47: SMOKEY POINT BLVD INTERSECTION,Bothways,530,,,4.1500001,2.5,0.449999988,20000,0.529999971,{0CCA807A-1A3F-4D2D-8FD6-A821E7B32B05},2022
-122.430131523362,48.7827283127553,3900,2022/12/31 08:00:00+00,542,"NORTHWEST OF MILEPOST 1.74: E MCLEOD RD, TRICKLE CREEK BLVD INTERSECTION",Bothways,542,,,6.05999994,2.75999999,0.709999979,13000,1.75,{F6877E86-2607-4EAB-AA88-2B4D8B82EB67},2022
-122.591019103038,47.8542315214024,3901,2022/12/31 08:00:00+00,104,WEST OF MILEPOST 16.51: GAMBLE WAY INTERSECTION,Bothways,104,,,,,,5500,16.2999992,{050FF77E-26AB-4C99-B4A8-DB6587644C9F},2022
-119.990082725994,46.3059921022408,3902,2022/12/31 08:00:00+00,082,WEST OF MILEPOST 68.40: SR 241 ON RAMP,Bothways,082,,,,,,23000,68.3600006,{D95DCBBF-FA0C-4CF8-9197-5A0AF380F7C0},2022
-119.359975937289,46.2395204741586,3903,2022/12/31 08:00:00+00,082,SOUTH OF MILEPOST 102.87: SR 182 OFF RAMP,Bothways,082,,,4.51999998,15,1.95000005,15000,102.849998,{7D0439B6-CDF7-4E77-9CD6-A206F00DAE18},2022
-122.48599268587,48.8184677164806,3904,2022/12/31 08:00:00+00,539,SOUTH OF MILEPOST 2.48: KELLY RD INTERSECTION,Bothways,539,,,,,,24000,2.47000003,{339453DC-73AF-4946-A5EE-408DE179A91E},2022
-122.216697277412,47.1959378843424,3905,2022/12/31 08:00:00+00,410,WEST OF MILEPOST 11.07: 166TH AVE E ON RAMP,Bothways,410,,,,,,53000,2.22000003,{EE96DFA8-6B47-4075-B2E4-5E22D855697B},2022
-122.829855294813,47.0455761924393,3906,2022/12/31 08:00:00+00,005P210793,P2 RAMP (P110793 TO 3RD AVE SE)  AFTER MILEPOST 0.14: P510793 OFF RAMP,East,005,P2,10793,,,,4400,0.349999994,{1CF583E5-84D2-4CCF-9597-CBD2A3FB7C78},2022
-122.625843814438,47.5340911050537,3907,2022/12/31 08:00:00+00,166,AT MILEPOST 3.97: MITCHELL RD UNDERCROSSING,Bothways,166,,,,,,15000,4,{3895960D-9E53-429C-ADA6-8100A3239640},2022
-117.41697360099,48.7476957290334,3908,2022/12/31 08:00:00+00,031,AT MILEPOST 4.48: IONE CITY LIMITS,Bothways,031,,,9.51000023,2.77999997,0.460000008,1300,4.48000002,{D5250320-DF38-43D8-9BA8-9DDB53C85552},2022
-122.274570142015,47.4851680723435,3909,2022/12/31 08:00:00+00,599,NORTHWEST OF MILEPOST 0.27: SR 5 OFF RAMP,Bothways,599,,,,,,44000,0.280000001,{70D2EDE4-0D0C-4140-853D-BB433E7234AD},2022
-122.515842975704,47.2669958920247,3910,2022/12/31 08:00:00+00,163,"SOUTH OF MILEPOST 0.69: MED XROAD, N 21ST ST, WESTGATE BLVD INTERSECTION",Bothways,163,,,,,,23000,0.680000007,{DCF4A0FA-4ED7-4066-9D4F-0A8ECFF52D7F},2022
-122.734858270011,47.5158415214081,3911,2022/12/31 08:00:00+00,003,NORTHWEST OF MILEPOST 32.60: SUNNYSLOPE RD SW INTERSECTION,Bothways,003,,,,,,22000,32.5800018,{71266861-FD23-4E7D-A8FE-CE039DE03A9F},2022
-117.282810915592,47.6735543404396,3912,2022/12/31 08:00:00+00,090,AT MILEPOST 287.83: ARGONNE RD UNDERCROSSING,Bothways,090,,,,,,89000,285.529999,{6F053A56-8DE0-4A91-946E-6C5D316CE5D4},2022
-120.904496561887,47.1830236635042,3913,2022/12/31 08:00:00+00,090P108565,"P1 RAMP (SR 90 EB TO SR 970)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",Southeast,090,P1,08565,7.11999989,13.0500002,1.74000001,1700,0.159999996,{D9059F50-A1A4-4675-984C-20BCFB5E25A4},2022
-123.030780037131,48.0384136885164,3914,2022/12/31 08:00:00+00,101,SOUTH OF MILEPOST 269.21: LOUELLA RD INTERSECTION,Bothways,101,,,,,,18000,268.26001,{F8591C93-CD61-4946-95B4-F82BF34ACBB1},2022
-122.246998992472,48.5031704081272,3915,2022/12/31 08:00:00+00,009,NORTH OF MILEPOST 55.75: W STATE ST INTERSECTION,Bothways,009,,,,,,4800,55.4099998,{DD891942-82A0-47B7-B5A3-EC5C94D99962},2022
-122.284512710835,47.511930546739,3916,2022/12/31 08:00:00+00,005,NORTHWEST OF MILEPOST 158.32: NBCD LANE ON RAMP,Bothways,005,,,,,,203000,158.309998,{E82E663C-6017-4A50-B863-D6504EEFA6D0},2022
-117.207415180949,47.6712855738146,3917,2022/12/31 08:00:00+00,090,"AT MILEPOST 291.40: EVERGREEN RD, SULLIVAN RD OFF RAMP",Bothways,090,,,,,,94000,289.089996,{660293E0-33B5-4339-A9CE-D9C9E19268C4},2022
-122.183394584115,48.0518659779241,3918,2022/12/31 08:00:00+00,528,"EAST OF MILEPOST 0.05: SR 5 OFF RAMP; SR 5 ON RAMP",Bothways,528,,,,,,32000,0.0599999987,{FA84B599-3A5E-42CC-AAD1-7798E9384BCA},2022
-122.184297916815,48.0989665556869,3919,2022/12/31 08:00:00+00,005P120218,"P1 RAMP (SR 5 NB TO 116TH ST NE)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",North,005,P1,20218,,,,11000,0.200000003,{839E261E-05D0-4EFB-9C2C-58FE80666011},2022
-122.376046690627,45.5807615422051,3920,2022/12/31 08:00:00+00,014R101542,"R1 RAMP (SR 14 WB TO LX01500)  AFTER MILEPOST 0.00: SR 14 WB INTERSECTION; BEGIN ROUTE",West,014,R1,01542,,,,1400,0.330000013,{F9440F46-7E80-4A94-9A8B-48B65AE09C85},2022
-122.334714671644,47.5376801657173,3921,2022/12/31 08:00:00+00,099,"NORTH OF MILEPOST 26.55: DUWAMISH RIVER BRIDGE; END PHYSICAL GAP",North,099,,,3.95000005,2,0.0900000036,44000,20.2600002,{597A39FE-E2C0-457C-A5F9-396825D8F950},2022
-122.892540507089,47.031198543316,3922,2022/12/31 08:00:00+00,005P110517,"P1 RAMP (SR 5 NB TO 14TH AVE)  AFTER MILEPOST 0.00: SR 5 NB INTERSECTION; BEGIN ROUTE",Northeast,005,P1,10517,,,,9300,0.109999999,{C42862A4-CDC9-4EA1-AE1C-C6AD4E08F233},2022
-119.289421403328,46.2612859492843,3923,2022/12/31 08:00:00+00,182R200421,"R2 RAMP (R100421 TO THAYER DR)  AFTER MILEPOST 0.00: R100421 INTERSECTION; BEGIN ROUTE",North,182,R2,00421,2.97000003,1.16999996,0,3200,0.180000007,{19295823-9C5A-4008-958C-9E99C695C8EA},2022
-119.335200216546,45.9441556316146,3924,2022/12/31 08:00:00+00,082Q113203,"Q1 RAMP (SR 14 TO SR 82 EB)  AFTER MILEPOST 0.00: SR 14 INTERSECTION; BEGIN ROUTE",Southeast,082,Q1,13203,5.07999992,14.5500002,1.77999997,2400,0.0900000036,{4C71B736-A524-4AAE-8357-F78D439E97A5},2022
-119.863159972037,47.0851592758687,3925,2022/12/31 08:00:00+00,090S114941,"S1 RAMP (SR 281 TO SR 90 WB)  AFTER MILEPOST 0.00: SR 281 INTERSECTION; BEGIN ROUTE",South,090,S1,14941,7.82000017,18.9099998,6.73999977,2100,0.0799999982,{4AA0E96B-C399-4FEE-A3CB-568A51553883},2022
-122.228502315301,47.9231135507148,3926,2022/12/31 08:00:00+00,526,AT MILEPOST 3.47: PED XING UNDERCROSSING,Bothways,526,,,,,,59000,3.47000003,{4B308DC0-AD2B-47AD-9BE3-A2898FE2A5DF},2022
-122.281851013453,47.8642957689329,3927,2022/12/31 08:00:00+00,099,NORTHWEST OF MILEPOST 50.22: 148TH ST SW INTERSECTION,Bothways,099,,,,,,34000,43.7999992,{A7FCE9B8-311C-4394-8318-EFE9CE1781E6},2022
-122.922690274792,47.0251501143918,3928,2022/12/31 08:00:00+00,101Q136688,"Q1 RAMP (CROSBY BLVD TO SR 101 EB)  AFTER MILEPOST 0.00: LX36642-CROSBY BLVD INTERSECTION; BEGIN ROUTE",East,101,Q1,36688,,,,7200,0.0199999996,{B5419AA7-C30B-4698-846A-4CDC77FF279B},2022
-122.248463685031,47.4647313680414,3929,2022/12/31 08:00:00+00,405S100060,"S1 RAMP (INTRURBN AV TO SR 405 SB)  AFTER MILEPOST 0.00: INTERURBAN AVE-LX00096 INTERSECTION; BEGIN ROUTE",Southeast,405,S1,00060,,,,7000,0.0900000036,{D6609373-B479-4780-B028-E4C79E4F26BD},2022
-119.464228337012,46.2538156181874,3930,2022/12/31 08:00:00+00,082,NORTHWEST OF MILEPOST 97.16: WEBBER CANYON RD ON RAMP,Bothways,082,,,,,,27000,97.1399994,{1E1F2C9A-32A9-4279-8C8E-04517B5474C4},2022
-120.471665211241,46.5314254259924,3931,2022/12/31 08:00:00+00,082,"SOUTH OF MILEPOST 38.48: SR 97 OFF RAMP; SR 97 ON RAMP",Bothways,082,,,3.92000008,10.1700001,1.78999996,31000,38.4599991,{D526C5A9-9DB2-429B-9561-33CBE9FA1173},2022
-122.19841811809,47.4472859304636,3932,2022/12/31 08:00:00+00,515,NORTHWEST OF MILEPOST 5.29: BENSON RD INTERSECTION,Bothways,515,,,1.66999996,0.370000005,0,23000,5.26999998,{73AA07C3-CCB2-41B2-B872-8490ECBFD16F},2022
-122.885841516959,46.1071434172828,3933,2022/12/31 08:00:00+00,005R203748,R2 RAMP (R103748 TO TALLEY WAY)  AFTER MILEPOST 0.39: R303748 ON RAMP,Northwest,005,R2,03748,,,,2600,0.449999988,{DF2156AC-73C8-4E73-A016-F60151B49546},2022
-117.134573215728,47.6645626232749,3934,2022/12/31 08:00:00+00,090Q129526,"Q1 RAMP (APPLEWAY AVE TO SR 90 EB)  AFTER MILEPOST 0.00: INCREASING MISCELLANEOUS FEATURE APPLEWAY AVE BEHIND; BEGIN ROUTE",East,090,Q1,29526,4.61999989,1.48000002,0.0599999987,1600,0.109999999,{270E466C-6E78-49D0-9AFF-933421D6DE1A},2022
-122.159754796379,47.3286852523256,3935,2022/12/31 08:00:00+00,018S100820,S1 RAMP (SE 304TH ST TO SR 18 WB)  AFTER MILEPOST 0.02: LX00877 WYE CONNECTION,South,018,S1,00820,3.3900001,0.970000029,0.00999999978,7100,0.129999995,{D68115ED-CD5F-4022-B035-74BB6883F894},2022
-122.321260187064,47.6795474483943,3936,2022/12/31 08:00:00+00,005S117050,"S1 RAMP (SR 522 WB TO SR 5 SB)  AFTER MILEPOST 0.00: INCREASING MISCELLANEOUS FEATURE END SR 522 WB; BEGIN ROUTE",South,005,S1,17050,,,,16000,0.0299999993,{08DFBD66-59E9-4FEF-A877-04D94274C381},2022
-122.692988927437,47.6613970520204,3937,2022/12/31 08:00:00+00,303,"AT MILEPOST 9.11: SR 3 BRIDGE; END ROUTE",Bothways,303,,,,,,26000,9.27000046,{C4B83260-4C6D-415E-AB95-07B6197A22AB},2022
-119.158792140974,46.2096396715689,3938,2022/12/31 08:00:00+00,395,"NORTH OF MILEPOST 16.92: MEDIAN XROAD, W KENNEWICK AVE INTERSECTION",Bothways,395,,,,,,31000,23.6900005,{D47660E1-8138-482C-95B6-D882AFA47C91},2022
-122.176218335362,47.5822752169368,3939,2022/12/31 08:00:00+00,090S100926,S1 RAMP (SR 405 SB TO SR 90 WB)  AFTER MILEPOST 0.36: Q201015 OFF RAMP,South,090,S1,00926,,,,22000,0.400000006,{0F99213C-6573-4C26-A98D-5B771A1D9E11},2022
-120.561618670979,46.6213835924695,3940,2022/12/31 08:00:00+00,012S119937,"S1 RAMP (N 40TH AVE TO SR 12 WB)  AFTER MILEPOST 0.00: N 40TH AVE, R120055 INTERSECTION; BEGIN ROUTE",Northwest,012,S1,19937,,,,3800,0.0399999991,{3B02EE3C-3D70-4FBB-9339-FA9969078B96},2022
-122.818129758103,48.0710776153412,3941,2022/12/31 08:00:00+00,020,"SOUTHEAST OF MILEPOST 7.79: BUSINESS ENTRANCE/EXIT; SR 19-AIRPORT CUTOFF RD INTERSECTION",Bothways,020,,,5.73000002,3.96000004,0.170000002,5400,7.78000021,{B7A9344E-1B8D-47F1-8871-72A17ED5B308},2022
-122.060515038163,47.5494378555242,3942,2022/12/31 08:00:00+00,090LX01582,LATERAL CROSSING (17TH AVE NW)  SOUTHWEST OF MILEPOST 0.06: S501537 OFF RAMP,Bothways,090,LX,01582,,,,40000,0.0700000003,{6CF20232-7CD7-4DC8-AEBD-C5E820F0BA27},2022
-119.348144285614,46.2173876950717,3943,2022/12/31 08:00:00+00,082,AT MILEPOST 104.51: DALLAS RD BRIDGE,Bothways,082,,,,,,10000,104.480003,{544A3584-8984-4ADB-A872-EC68B84A3C6E},2022
-119.115671278817,46.2491167655943,3944,2022/12/31 08:00:00+00,182R101294,"R1 RAMP (SR 182 WB TO 20TH AVE)  AFTER MILEPOST 0.00: SR 182 WB INTERSECTION; BEGIN ROUTE",West,182,R1,01294,4.38000011,1.21000004,0.0500000007,3800,0.180000007,{90253B32-BC7D-45A4-BFEB-F10BE08B5AC8},2022
-122.827801117323,47.3867225781085,3945,2022/12/31 08:00:00+00,003,NORTH OF MILEPOST 21.28: E N BAY RD (OLD SR 302) INTERSECTION,Bothways,003,,,,,,8700,21.2900009,{B042D0B4-8DC1-4A64-9108-6EA0BC2882E7},2022
-119.203058092368,46.1433523550225,3946,2022/12/31 08:00:00+00,082P111402,"P1 RAMP (SR 82 EB TO LOCUST GROVE)  AFTER MILEPOST 0.00: SR 82 EB INTERSECTION; BEGIN ROUTE",South,082,P1,11402,,,,1100,0.310000002,{1F443A54-3B08-4FCB-9553-ABA752CC77ED},2022
-119.766733163676,47.1027437309118,3947,2022/12/31 08:00:00+00,090P515460,"P5 RAMP (SR 90 EB TO ADAMS RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",South,090,P5,15460,7.86000013,16.4300003,12.1400003,140,0.140000001,{06030199-59E1-460D-B157-8AC61FA749B6},2022
-122.292076527848,47.4008202007886,3948,2022/12/31 08:00:00+00,005,NORTH OF MILEPOST 149.83: SR 516 OFF RAMP,Bothways,005,,,,,,210000,149.820007,{065587D9-85C0-4EB8-A1DC-7FBFB0AC7408},2022
-122.91275223834,46.3237256871121,3949,2022/12/31 08:00:00+00,005,AT MILEPOST 52.65: OLD PACIFIC HWY N UNDERCROSSING,Bothways,005,,,,,,44000,52.7200012,{C70EA13E-29F6-43E9-845C-1F37CE58DCBA},2022
-119.128055151559,47.0875315283789,3950,2022/12/31 08:00:00+00,090Q118528,"Q1 RAMP (Q RD SE TO SR 90 EB)  AFTER MILEPOST 0.00: LX18489, Q RD SE INTERSECTION; BEGIN ROUTE",Northeast,090,Q1,18528,20.75,16.9799995,3.76999998,50,0.0799999982,{E4FA9CE2-0FD4-43D6-9826-75F43C702C27},2022
-122.671899605141,45.7808479683093,3951,2022/12/31 08:00:00+00,005,AT MILEPOST 11.64: SR 502 UNDERCROSSING,Bothways,005,,,,,,98000,11.6400003,{393D7D7D-B015-41D2-80FE-08A8FF4CCAE8},2022
-124.055967722129,46.2903446236201,3952,2022/12/31 08:00:00+00,100,NORTHWEST OF MILEPOST 2.97: SR 100 SPUR WYE CONNECTION,Bothways,100,,,4.5999999,1.24000001,0.25,800,2.98000002,{793D5759-BA35-4F45-A47B-405962A12932},2022
-122.336503382208,47.2609948340876,3953,2022/12/31 08:00:00+00,099,SOUTH OF MILEPOST 5.96: JOHNSON RD NE INTERSECTION,Bothways,099,,,,,,24000,2.29999995,{0EC27D49-5807-4D17-B24E-12B061672F38},2022
-120.528171728532,46.6541750349838,3954,2022/12/31 08:00:00+00,823,NORTH OF MILEPOST 1.54: E NACHES AVE INTERSECTION,Bothways,823,,,,,,14000,2.36999989,{649BF60C-E049-4B8B-8A88-96F4EBCA412B},2022
-122.339462620316,48.5088084294767,3955,2022/12/31 08:00:00+00,005Q123326,"Q1 RAMP (COOK RD TO SR 5 NB)  AFTER MILEPOST 0.00: COOK RD INTERSECTION; BEGIN ROUTE",Northwest,005,Q1,23326,,,,3100,0.0900000036,{88B2A85C-80DA-44B4-8EF3-EDC191C47320},2022
-117.343538273884,47.6536497897102,3956,2022/12/31 08:00:00+00,090Q128460,"Q1 RAMP (4TH AVE TO SR 90 EB)  AFTER MILEPOST 0.00: 4TH AVE INTERSECTION; BEGIN ROUTE",East,090,Q1,28460,2.8499999,0.99000001,0,2700,0.0199999996,{6C4D8ED1-BD70-45A8-A94C-BF553E35E611},2022
-121.131605424967,47.2172998596239,3957,2022/12/31 08:00:00+00,090P107383,"P1 RAMP (SR 90 EB TO W NELSON RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",East,090,P1,07383,12.8599997,10,1.78999996,280,0.180000007,{797FC048-5B10-4EF5-B058-15B6E94C2D6C},2022
-117.167501010875,46.7261291033401,3958,2022/12/31 08:00:00+00,270,SOUTHEAST OF MILEPOST 3.19: STADIUM WAY WYE CONNECTION,Bothways,270,,,,,,15000,3.20000005,{53AD4C55-6E96-4C99-8698-AC474930736B},2022
-123.602470395826,46.9745072427771,3959,2022/12/31 08:00:00+00,012P101005,"P1 RAMP (SR 12 EB TO SR 107)  AFTER MILEPOST 0.00: SR 12 EB INTERSECTION; BEGIN ROUTE",East,012,P1,01005,5.94000006,1.72000003,0.280000001,1800,0.270000011,{867BEAEE-EE53-430B-A654-F33C2924F7B5},2022
-122.293766375216,47.1990131046493,3960,2022/12/31 08:00:00+00,167,NORTH OF MILEPOST 6.19B: SR 167 WYE CONNECTION,Bothways,167,,,,,,32000,6.15999985,{09FDA348-D6D5-43B0-8919-90858B7BB757},2022
